status,renewal,reinstate,old_user_id,first,last,description,category_id, premium,business_type_id,source_type_id,lenght_type_id,notes,policy_number,zip_code,date_written,date_issued,date_effective,date_canceled
2,0,0,0,Kanisha,Balls,Kanisha's Auto / Auto Short, 4,500.00, 1, 3, 1,Policy Number  4,AUT-10004,92004,2015:01:01 12:00:00,2015:01:11 12:00:00,2015:01:11 12:00:00,
2,0,0,0,Floy,Dahle,Floy's Auto / Auto, 1,500.00, 1, 3, 1,Policy Number  9,AUT-10009,92009,2015:01:02 12:00:00,2015:01:12 12:00:00,2015:01:12 12:00:00,
2,0,0,0,Kathie,Bart,Kathie's Auto / Motorcycle, 6,500.00, 1, 3, 1,Policy Number  14,AUT-10014,92014,2015:01:02 12:00:00,2015:01:12 12:00:00,2015:01:12 12:00:00,
2,0,0,0,Marie,Antilla,Marie's Auto / Auto DSS, 3,500.00, 1, 3, 1,Policy Number  19,AUT-10018,92019,2015:01:03 12:00:00,2015:01:13 12:00:00,2015:01:13 12:00:00,
2,0,0,0,August,Clutter,August's Auto / Trailer, 8,500.00, 1, 3, 1,Policy Number  24,AUT-10023,92024,2015:01:04 12:00:00,2015:01:14 12:00:00,2015:01:14 12:00:00,
2,0,0,0,Emiko,Lederer,Emiko's Auto / Commercial, 5,500.00, 1, 3, 1,Policy Number  29,AUT-10028,92029,2015:01:05 12:00:00,2015:01:15 12:00:00,2015:01:15 12:00:00,
2,0,0,0,Dortha,Lucus,Dortha's Auto / ATV/Snow, 2,500.00, 1, 3, 1,Policy Number  34,AUT-10032,92034,2015:01:05 12:00:00,2015:01:15 12:00:00,2015:01:15 12:00:00,
2,0,0,0,Bettie,Mattson,Bettie's Auto / Motor Home, 7,500.00, 1, 3, 1,Policy Number  39,AUT-10037,92039,2015:01:06 12:00:00,2015:01:16 12:00:00,2015:01:16 12:00:00,
2,0,0,0,Karmen,Andres,Karmen's Auto / Auto Short, 4,500.00, 1, 1, 1,Policy Number  44,AUT-10042,92044,2015:01:07 12:00:00,2015:01:17 12:00:00,2015:01:17 12:00:00,
2,0,0,0,Florrie,Bonetti,Florrie's Auto / Auto, 1,500.00, 1, 3, 1,Policy Number  49,AUT-10046,92049,2015:01:07 12:00:00,2015:01:17 12:00:00,2015:01:17 12:00:00,
2,0,0,0,Cheryle,Krings,Cheryle's Auto / Motorcycle, 6,500.00, 1, 3, 1,Policy Number  54,AUT-10049,92054,2015:01:08 12:00:00,2015:01:18 12:00:00,2015:01:18 12:00:00,
2,0,0,0,Benjamin,Kingsland,Benjamin's Auto / Auto DSS, 3,500.00, 1, 3, 1,Policy Number  59,AUT-10054,92059,2015:01:09 12:00:00,2015:01:19 12:00:00,2015:01:19 12:00:00,
2,0,0,0,Shella,Greiner,Shella's Auto / Trailer, 8,500.00, 1, 3, 1,Policy Number  64,AUT-10058,92064,2015:01:10 12:00:00,2015:01:20 12:00:00,2015:01:20 12:00:00,
