status,renewal,reinstate,old_user_id,first,last,description,category_id, premium,business_type_id,source_type_id,lenght_type_id,notes,policy_number,zip_code,date_written,date_issued,date_effective,date_canceled
2,0,0,0,Lovetta,Vass,Lovetta's Auto / Commercial, 5,500.00, 1, 3, 1,Policy Number  5,AUT-10005,92005,2015:01:01 12:00:00,2015:01:11 12:00:00,2015:01:11 12:00:00,
2,0,0,0,Tanna,Pritts,Tanna's Auto / ATV/Snow, 2,500.00, 1, 2, 1,Policy Number  10,AUT-10010,92010,2015:01:02 12:00:00,2015:01:12 12:00:00,2015:01:12 12:00:00,
2,0,0,0,Miranda,Ince,Miranda's Fire / Fire, 9,1000.00, 1, 3, 2,Policy Number  15,FIR-10001,92015,2015:01:03 12:00:00,2015:01:13 12:00:00,2015:01:13 12:00:00,
2,0,0,0,Rusty,Brew,Rusty's Auto / Auto Short, 4,500.00, 1, 2, 1,Policy Number  20,AUT-10019,92020,2015:01:03 12:00:00,2015:01:13 12:00:00,2015:01:13 12:00:00,
2,0,0,0,Jerrica,Collelo,Jerrica's Auto / Auto, 1,500.00, 1, 3, 1,Policy Number  25,AUT-10024,92025,2015:01:04 12:00:00,2015:01:14 12:00:00,2015:01:14 12:00:00,
2,0,0,0,Esta,Kesler,Esta's Fire / Apt Building, 10,1000.00, 1, 2, 2,Policy Number  30,FIR-10002,92030,2015:01:05 12:00:00,2015:01:15 12:00:00,2015:01:15 12:00:00,
2,0,0,0,Epifania,Normand,Epifania's Auto / Auto DSS, 3,500.00, 1, 3, 1,Policy Number  35,AUT-10033,92035,2015:01:05 12:00:00,2015:01:15 12:00:00,2015:01:15 12:00:00,
2,0,0,0,Despina,Obrien,Despina's Auto / Trailer, 8,500.00, 1, 2, 1,Policy Number  40,AUT-10038,92040,2015:01:06 12:00:00,2015:01:16 12:00:00,2015:01:16 12:00:00,
2,0,0,0,Louise,Krier,Louise's Fire / Boat, 11,1000.00, 1, 3, 2,Policy Number  45,FIR-10003,92045,2015:01:07 12:00:00,2015:01:17 12:00:00,2015:01:17 12:00:00,
2,0,0,0,Buford,Lesure,Buford's Auto / ATV/Snow, 2,500.00, 1, 2, 1,Policy Number  50,AUT-10047,92050,2015:01:08 12:00:00,2015:01:18 12:00:00,2015:01:18 12:00:00,
2,0,0,0,Dorinda,Buczek,Dorinda's Auto / Motor Home, 7,500.00, 1, 1, 1,Policy Number  55,AUT-10050,92055,2015:01:08 12:00:00,2015:01:18 12:00:00,2015:01:18 12:00:00,
2,0,0,0,Elvera,Rayner,Elvera's Fire / Bond, 12,1000.00, 1, 2, 2,Policy Number  60,FIR-10004,92060,2015:01:09 12:00:00,2015:01:19 12:00:00,2015:01:19 12:00:00,
2,0,0,0,Brunilda,Doonan,Brunilda's Auto / Auto, 1,500.00, 1, 3, 1,Policy Number  65,AUT-10059,92065,2015:01:10 12:00:00,2015:01:20 12:00:00,2015:01:20 12:00:00,
2,0,0,0,Fermin,Poudrier,Fermin's Auto / Motorcycle, 6,500.00, 1, 2, 1,Policy Number  70,AUT-10064,92070,2015:01:10 12:00:00,2015:01:20 12:00:00,2015:01:20 12:00:00,
2,0,0,0,Morris,Tingley,Morris's Fire / CLUP, 13,1000.00, 1, 3, 2,Policy Number  75,FIR-10005,92075,2015:01:11 12:00:00,2015:01:21 12:00:00,2015:01:21 12:00:00,
2,0,0,0,Tamra,Piraino,Tamra's Auto / Trailer, 8,500.00, 1, 2, 1,Policy Number  80,AUT-10073,92080,2015:01:12 12:00:00,2015:01:22 12:00:00,2015:01:22 12:00:00,
