status,renewal,reinstate,old_user_id,first,last,description,category_id, premium,business_type_id,source_type_id,lenght_type_id,notes,policy_number,zip_code,date_written,date_issued,date_effective,date_canceled
2,0,0,0,Macie,Dorton,Macie's Auto / Auto, 1,500.00, 1, 3, 1,Policy Number  1,AUT-10001,92001,2015:01:01 12:00:00,2015:01:11 12:00:00,2015:01:11 12:00:00,
2,0,0,0,Janey,Teasley,Janey's Auto / Motorcycle, 6,500.00, 1, 3, 1,Policy Number  6,AUT-10006,92006,2015:01:01 12:00:00,2015:01:11 12:00:00,2015:01:11 12:00:00,
2,0,0,0,Tennille,Pannell,Tennille's Auto / Auto DSS, 3,500.00, 1, 1, 1,Policy Number  11,AUT-10011,92011,2015:01:02 12:00:00,2015:01:12 12:00:00,2015:01:12 12:00:00,
2,0,0,0,Armida,Kuhns,Armida's Auto / Trailer, 8,500.00, 1, 3, 1,Policy Number  16,AUT-10015,92016,2015:01:03 12:00:00,2015:01:13 12:00:00,2015:01:13 12:00:00,
2,0,0,0,Johnnie,Huertas,Johnnie's Auto / Commercial, 5,500.00, 1, 3, 1,Policy Number  21,AUT-10020,92021,2015:01:03 12:00:00,2015:01:13 12:00:00,2015:01:13 12:00:00,
2,0,0,0,Winfred,Retzlaff,Winfred's Auto / ATV/Snow, 2,500.00, 1, 3, 1,Policy Number  26,AUT-10025,92026,2015:01:04 12:00:00,2015:01:14 12:00:00,2015:01:14 12:00:00,
2,0,0,0,Natasha,Fegan,Natasha's Auto / Motor Home, 7,500.00, 2, 3, 1,Policy Number  31,AUT-10029,92031,2015:01:05 12:00:00,2015:01:15 12:00:00,2015:01:15 12:00:00,
2,0,0,0,Danilo,Halley,Danilo's Auto / Auto Short, 4,500.00, 1, 3, 1,Policy Number  36,AUT-10034,92036,2015:01:06 12:00:00,2015:01:16 12:00:00,2015:01:16 12:00:00,
2,0,0,0,Kenyatta,Fearn,Kenyatta's Auto / Auto, 1,500.00, 1, 3, 1,Policy Number  41,AUT-10039,92041,2015:01:06 12:00:00,2015:01:16 12:00:00,2015:01:16 12:00:00,
2,0,0,0,Jolyn,Waldrip,Jolyn's Auto / Motorcycle, 6,500.00, 1, 3, 1,Policy Number  46,AUT-10043,92046,2015:01:07 12:00:00,2015:01:17 12:00:00,2015:01:17 12:00:00,
2,0,0,0,Josefine,Stoney,Josefine's Life / 10 pay, 27,100.00, 1, 6, 3,Policy Number  51,LIF-10001,92051,2015:01:08 12:00:00,2015:01:18 12:00:00,2015:01:18 12:00:00,
2,0,0,0,Elvie,Liebold,Elvie's Auto / Trailer, 8,500.00, 1, 3, 1,Policy Number  56,AUT-10051,92056,2015:01:08 12:00:00,2015:01:18 12:00:00,2015:01:18 12:00:00,
2,0,0,0,Jalisa,Abril,Jalisa's Auto / Commercial, 5,500.00, 1, 3, 1,Policy Number  61,AUT-10055,92061,2015:01:09 12:00:00,2015:01:19 12:00:00,2015:01:19 12:00:00,
