status,renewal,reinstate,old_user_id,first,last,description,category_id, premium,business_type_id,source_type_id,lenght_type_id,notes,policy_number,zip_code,date_written,date_issued,date_effective,date_canceled
2,0,0,0,Veda,Heyd,Veda's Auto / ATV/Snow, 2,500.00, 1, 3, 1,Policy Number  2,AUT-10002,92002,2015:01:01 12:00:00,2015:01:11 12:00:00,2015:01:11 12:00:00,
2,0,0,0,Rosalie,Alcott,Rosalie's Auto / Motor Home, 7,500.00, 1, 3, 1,Policy Number  7,AUT-10007,92007,2015:01:01 12:00:00,2015:01:11 12:00:00,2015:01:11 12:00:00,
2,0,0,0,Carole,Arai,Carole's Auto / Auto Short, 4,500.00, 1, 3, 1,Policy Number  12,AUT-10012,92012,2015:01:02 12:00:00,2015:01:12 12:00:00,2015:01:12 12:00:00,
2,0,0,0,September,Tong,September's Auto / Auto, 1,500.00, 1, 3, 1,Policy Number  17,AUT-10016,92017,2015:01:03 12:00:00,2015:01:13 12:00:00,2015:01:13 12:00:00,
2,0,0,0,Virgen,Smoot,Virgen's Auto / Motorcycle, 6,500.00, 1, 1, 1,Policy Number  22,AUT-10021,92022,2015:01:04 12:00:00,2015:01:14 12:00:00,2015:01:14 12:00:00,
2,0,0,0,Tiny,Stripling,Tiny's Auto / Auto DSS, 3,500.00, 1, 3, 1,Policy Number  27,AUT-10026,92027,2015:01:04 12:00:00,2015:01:14 12:00:00,2015:01:14 12:00:00,
2,0,0,0,Marybeth,Mater,Marybeth's Auto / Trailer, 8,500.00, 1, 3, 1,Policy Number  32,AUT-10030,92032,2015:01:05 12:00:00,2015:01:15 12:00:00,2015:01:15 12:00:00,
2,0,0,0,Rasheeda,Gillham,Rasheeda's Auto / Commercial, 5,500.00, 1, 3, 1,Policy Number  37,AUT-10035,92037,2015:01:06 12:00:00,2015:01:16 12:00:00,2015:01:16 12:00:00,
2,0,0,0,Hue,Borunda,Hue's Auto / ATV/Snow, 2,500.00, 1, 3, 1,Policy Number  42,AUT-10040,92042,2015:01:06 12:00:00,2015:01:16 12:00:00,2015:01:16 12:00:00,
2,0,0,0,Michelina,Widell,Michelina's Auto / Motor Home, 7,500.00, 1, 3, 1,Policy Number  47,AUT-10044,92047,2015:01:07 12:00:00,2015:01:17 12:00:00,2015:01:17 12:00:00,
2,0,0,0,Isabella,Arthurs,Isabella's Auto / Auto Short, 4,500.00, 1, 3, 1,Policy Number  52,AUT-10048,92052,2015:01:08 12:00:00,2015:01:18 12:00:00,2015:01:18 12:00:00,
